Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
120, 1, 0.5, 0.142857, 0.142857, 0.111111, 0.5, 4.13721, 0.051737, , 1, 0.681123, 3.14375, 6.18946, , 1, 0.681123, 3.14375, 6.18946, , 
121, 1, 0.25, 0.111111, 0.166667, 0.2, 2, 4.19656, 0.0741186, , 1, 0.985423, 6.45912, 5.36723, , 1, 1, 6.45912, 5.36723, , 
122, 1, 0.25, 0.111111, 0.142857, 0.166667, 0.25, 4.20655, 0.0778833, , 1, 1.024, 4.26599, 10.0444, , 1, 1, 4.16601, 9.80903, , 
123, 1, 0.2, 0.125, 0.111111, 0.2, 0.333333, 4.24891, 0.0938556, , 1, 1.04711, 5.36599, 9.02875, , 1, 1, 5.12456, 8.62251, , 
124, 1, 0.2, 0.111111, 0.125, 0.166667, 0.333333, 4.16554, 0.0624192, , 1, 1.03607, 5.22554, 9.75919, , 1, 1, 5.04361, 9.41941, , 
125, 1, 0.166667, 0.111111, 0.125, 0.142857, 0.5, 4.05764, 0.0217337, , 1, 1.0096, 6.11743, 9.25619, , 1, 1, 6.05926, 9.16817, , 
126, 2, 2, 6, 2, 2, 5, 4.22772, 0.0858687, , 1, 0.580423, 0.513365, 0.173358, , 1, 0.565312, 0.5, 0.168845, , 
127, 2, 2, 8, 2, 3, 7, 4.21087, 0.0795144, , 1, 0.593564, 0.517562, 0.123578, , 1, 0.593564, 0.517562, 0.123578, , 
128, 2, 2, 9, 2, 3, 8, 4.24691, 0.0931042, , 1, 0.583364, 0.525552, 0.114342, , 1, 0.566878, 0.5107, 0.111111, , 
129, 2, 2, 0.333333, 3, 0.25, 0.125, 4.10314, 0.0388918, , 1, 0.729226, 0.352916, 2.81657, , 1, 0.729226, 0.352916, 2.82333, , 
130, 2, 2, 0.333333, 3, 0.25, 0.111111, 4.10314, 0.0388918, , 1, 0.725939, 0.342829, 2.89681, , 1, 0.725939, 0.342829, 2.90376, , 
131, 2, 2, 0.333333, 4, 0.25, 0.111111, 4.1664, 0.0627469, , 1, 0.787602, 0.320187, 2.85248, , 1, 0.787602, 0.320187, 2.88169, , 
132, 2, 2, 0.333333, 5, 0.333333, 0.111111, 4.22772, 0.0858687, , 1, 0.884467, 0.298675, 2.58432, , 1, 0.884467, 0.298675, 2.6534, , 
133, 2, 3, 7, 2, 8, 3, 4.05764, 0.0217337, , 1, 0.660902, 0.324108, 0.109073, , 1, 0.660902, 0.327219, 0.109073, , 
134, 2, 3, 8, 2, 3, 4, 4.08201, 0.0309233, , 1, 0.512715, 0.353116, 0.124654, , 1, 0.512715, 0.353116, 0.124654, , 
135, 2, 3, 9, 3, 3, 5, 4.22772, 0.0858687, , 1, 0.580423, 0.342243, 0.115572, , 1, 0.565312, 0.333333, 0.112563, , 
136, 2, 3, 0.5, 0.5, 0.166667, 0.25, 4.10314, 0.0388918, , 1, 0.342829, 0.483959, 1.93121, , 1, 0.342829, 0.483959, 1.93584, , 
137, 2, 3, 0.5, 0.333333, 0.166667, 0.25, 4.19903, 0.0750486, , 1, 0.311397, 0.543866, 1.88927, , 1, 0.311397, 0.543866, 1.88927, , 
